#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Citrobacter sp. MGH105","Bacteria;Pseudomonadota;Gammaproteobacteria","MGH105","SAMN03280165","PRJNA271899","GCA_001037485.3","Complete",5.54343,51.7573,"chromosome:CP073048.2; plasmid unnamed1:CP073049.1; plasmid unnamed2:CP073050.1; plasmid unnamed3:CP073051.2; plasmid unnamed4:CP073052.1; plasmid unnamed5:CP073053.1",,6,0,"2021-04-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/037/485/GCF_001037485.2_ASM103748v3"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","H348","SAMN04383568","PRJNA279196","GCA_001988735.1","Complete",4.10638,67.7,"chromosome:NZ_CP013877.1/CP013877.1",,1,3656,"2017-02-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/735/GCF_001988735.1_ASM198873v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","WCHKP020098","SAMN08624622","PRJNA353728","GCA_003037005.2","Complete",5.84113,57.0752,"chromosome:NZ_CP036305.1/CP036305.1; plasmid p1_020098:NZ_CP036307.1/CP036307.1; plasmid p2_020098:NZ_CP036308.1/CP036308.1; plasmid pKPC2_020098:NZ_CP036306.1/CP036306.1; plasmid p3_020098:NZ_CP036309.1/CP036309.1",,5,5559,"2019-02-20T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/037/005/GCF_003037005.2_ASM303700v2"
"Acinetobacter baumannii","Bacteria;Pseudomonadota;Gammaproteobacteria","2018HLJAB1","SAMN15538696","PRJNA646312","GCA_017098265.1","Complete",3.9391,39,"chromosome:NZ_CP059358.1/CP059358.1",,1,3577,"2021-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/098/265/GCA_017098265.1_ASM1709826v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/098/265/GCF_017098265.1_ASM1709826v1"
"Pseudomonas aeruginosa","Bacteria;Pseudomonadota;Gammaproteobacteria","ZPPH1","SAMN19950571","PRJNA672835","GCA_019857485.1","Complete",6.80385,66.0149,"chromosome:NZ_CP077988.1/CP077988.1; plasmid p1:NZ_CP077989.1/CP077989.1; plasmid pZPPH1-KPC:NZ_CP077990.1/CP077990.1; plasmid p3:NZ_CP077991.1/CP077991.1; plasmid p4:NZ_CP077992.1/CP077992.1; plasmid p5:NZ_CP077993.1/CP077993.1",,6,6303,"2021-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/857/485/GCA_019857485.1_ASM1985748v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/857/485/GCF_019857485.1_ASM1985748v1"
"Helicobacter pylori UM032","Bacteria;Campylobacterota;Epsilonproteobacteria","UM032","SAMN02230257","PRJNA196982","GCA_000392455.3","Complete",1.59354,38.8,"chromosome:NC_021215.3/CP005490.3",,1,1422,"2013-05-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/455/GCA_000392455.3_ASM39245v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/455/GCF_000392455.3_ASM39245v3"
"Escherichia coli","Bacteria;Pseudomonadota;Gammaproteobacteria","KOr019","SAMN25236411","PRJNA800231","GCA_022494685.1","Complete",5.45049,50.3811,"chromosome:NZ_CP091665.1/CP091665.1; plasmid pKOr019_1:NZ_CP091666.1/CP091666.1; plasmid pKOr019_2:NZ_CP091667.1/CP091667.1; plasmid pKOr019_3:NZ_CP091668.1/CP091668.1; plasmid pKOr019_4:NZ_CP091669.1/CP091669.1; plasmid pKOr019_5:NZ_CP091670.1/CP091670.1; plasmid pKOr019_6:NZ_CP091671.1/CP091671.1",,7,4950,"2022-03-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/494/685/GCA_022494685.1_ASM2249468v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/494/685/GCF_022494685.1_ASM2249468v1"
"Staphylococcus aureus","Bacteria;Terrabacteria group;Bacillota","59574","SAMD00291285","PRJDB11424","GCA_024363365.1","Complete",2.87135,32.8681,"chromosome:NZ_AP024730.1/AP024730.1; plasmid p59574-1:NZ_AP024731.1/AP024731.1",,2,2698,"2022-06-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/363/365/GCF_024363365.1_ASM2436336v1"
"Salmonella enterica subsp. enterica","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN058620","SAMN08823084","PRJNA308180","GCA_003064165.2","Complete",5.18623,52.0762,"chromosome:NZ_CP077691.1/CP077691.1; plasmid pCFSAN058620:NZ_CP077692.1/CP077692.1",,2,4871,"2021-06-24T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/064/165/GCF_003064165.2_ASM306416v2"
"Salmonella enterica subsp. enterica","Bacteria;Pseudomonadota;Gammaproteobacteria","123","SAMN33038040","PRJNA930969","GCA_028596085.1","Complete",5.09238,52.1872,"chromosome:CP117184.1; plasmid p123_2:CP117186.1; plasmid p123_3:CP117187.1; plasmid p123_CTX-M:CP117185.1",,4,4801,"2023-02-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/596/085/GCF_028596085.1_ASM2859608v1"
"Staphylococcus aureus","Bacteria;Terrabacteria group;Bacillota","NCTC6136","SAMEA3504582","PRJEB6403","GCA_900474715.1","Complete",2.84993,32.9,"chromosome 1:NZ_LS483311.1/LS483311.1",,1,2730,"2018-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/715/GCA_900474715.1_41004_D01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/715/GCF_900474715.1_41004_D01"
"Helicobacter pylori OK310","Bacteria;Campylobacterota;Epsilonproteobacteria","OK310","SAMD00061057","PRJDB694","GCA_000348885.1","Complete",1.59544,38.7937,"chromosome:NC_020509.1/AP012601.1; plasmid pHPOK310:NC_020556.1/AP012602.1",,2,1422,"2013-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/885/GCA_000348885.1_ASM34888v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/885/GCF_000348885.1_ASM34888v1"
"Escherichia coli","Bacteria;Pseudomonadota;Gammaproteobacteria","MLI109","SAMN29553894","PRJNA856486","GCA_024331585.2","Complete",5.35766,50.5529,"chromosome:NZ_CP117008.1/CP117008.1; plasmid p140_MLI109:NZ_CP117007.1/CP117007.1",,2,4914,"2023-02-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/331/585/GCF_024331585.2_ASM2433158v2"
"Pseudomonas aeruginosa","Bacteria;Pseudomonadota;Gammaproteobacteria","KB-PA_F19","SAMN22573149","PRJNA774784","GCA_020771675.1","Complete",7.03537,65.7036,"chromosome:NZ_CP086010.1/CP086010.1; plasmid pKB-PA_F19-1:NZ_CP086011.1/CP086011.1; plasmid pKB-PA_F19-2:NZ_CP086012.1/CP086012.1; plasmid pKB-PA_F19-3:NZ_CP086013.1/CP086013.1; plasmid pKB-PA_F19-4:NZ_CP086014.1/CP086014.1; plasmid pKB-PA_F19-5:NZ_CP086015.1/CP086015.1",,6,6531,"2021-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/771/675/GCA_020771675.1_ASM2077167v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/771/675/GCF_020771675.1_ASM2077167v1"
"Acinetobacter baumannii","Bacteria;Pseudomonadota;Gammaproteobacteria","OCU-Ac19","SAMD00258369","PRJDB10765","GCA_027943685.1","Complete",4.03015,38.8848,"chromosome:AP025531.1; plasmid pOCUAc19-1:AP025532.1; plasmid pOCUAc19-2:AP025533.1; plasmid pOCUAc19-3:AP025534.1",,4,3790,"2023-01-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/943/685/GCF_027943685.1_ASM2794368v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","KP0937","SAMN30996806","PRJNA883808","GCA_025642295.1","Complete",5.89663,56.995,"chromosome:NZ_CP106760.1/CP106760.1; plasmid pKP0937-1:NZ_CP106761.1/CP106761.1; plasmid pKP0937-2:NZ_CP106762.1/CP106762.1; plasmid pKP0937-3:NZ_CP106763.1/CP106763.1; plasmid pKP0937-4:NZ_CP106764.1/CP106764.1",,5,5605,"2022-10-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/642/295/GCF_025642295.1_ASM2564229v1"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","J393","SAMN08395647","PRJNA279196","GCA_004634845.1","Complete",4.10638,67.7,"chromosome:NZ_CP026428.1/CP026428.1",,1,3630,"2019-04-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/634/845/GCF_004634845.1_ASM463484v1"
"Citrobacter sp. RHBSTW-00107","Bacteria;Pseudomonadota;Gammaproteobacteria","RHBSTW-00107","SAMN15148489","PRJNA605147","GCA_013794885.1","Complete",5.3745,51.9394,"chromosome:CP056861.1; plasmid pRHBSTW-00107_2:CP056862.1; plasmid pRHBSTW-00107_3:CP056863.1; plasmid pRHBSTW-00107_4:CP056864.1",,4,5099,"2020-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/794/885/GCA_013794885.1_ASM1379488v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/794/885/GCF_013794885.1_ASM1379488v1"
"Citrobacter sp. RHBSTW-00976","Bacteria;Pseudomonadota;Gammaproteobacteria","RHBSTW-00976","SAMN15148758","PRJNA605147","GCA_013724425.1","Complete",5.37374,51.8356,"chromosome:CP056219.1; plasmid pRHBSTW-00976_2:CP056220.1; plasmid pRHBSTW-00976_3:CP056221.1",,3,4950,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/724/425/GCA_013724425.1_ASM1372442v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/724/425/GCF_013724425.1_ASM1372442v1"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","I111","SAMN03702641","PRJNA279196","GCA_001987035.1","Complete",4.10638,67.7,"chromosome:NZ_CP011719.1/CP011719.1",,1,3629,"2017-02-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/035/GCF_001987035.1_ASM198703v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","CRKP_31","SAMN31207060","PRJNA888051","GCA_028220985.1","Complete",5.98679,56.8682,"chromosome:CP107372.1; plasmid unnamed1:CP107373.1; plasmid unnamed2:CP107374.1; plasmid unnamed3:CP107375.1; plasmid unnamed4:CP107376.1; plasmid unnamed5:CP107377.1; plasmid unnamed6:CP107378.1",,7,0,"2023-01-30T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/220/985/GCF_028220985.1_ASM2822098v1"
"Acinetobacter baumannii","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSAN093707","SAMN12391534","PRJNA300270","GCA_014705865.1","Complete",4.04901,39.2658,"chromosome:NZ_CP061521.1/CP061521.1; plasmid pCFSAN093707:NZ_CP061522.1/CP061522.1",,2,3741,"2020-09-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/705/865/GCA_014705865.1_ASM1470586v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/705/865/GCF_014705865.1_ASM1470586v1"
"Pseudomonas aeruginosa","Bacteria;Pseudomonadota;Gammaproteobacteria","TL1285","SAMN14884364","PRJNA631587","GCA_018986715.1","Complete",6.60941,66.1,"chromosome:NZ_CP053390.1/CP053390.1",,1,5702,"2021-06-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/715/GCA_018986715.1_ASM1898671v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/986/715/GCF_018986715.1_ASM1898671v1"
"Escherichia coli","Bacteria;Pseudomonadota;Gammaproteobacteria","GTEN_97","SAMN11230682","PRJNA528511","GCA_026689335.1","Complete",5.36549,50.5637,"chromosome:CP113493.1; plasmid unnamed1:CP113494.1",,2,0,"2022-12-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/689/335/GCF_026689335.1_ASM2668933v1"
"Helicobacter pylori 51","Bacteria;Campylobacterota;Epsilonproteobacteria","51","SAMN02603300","PRJNA9627","GCA_000011725.1","Complete",1.58995,38.8,"chromosome:NC_017382.1/CP000012.1",,1,1400,"2009-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/725/GCA_000011725.1_ASM1172v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/725/GCF_000011725.1_ASM1172v1"
"Salmonella enterica subsp. enterica","Bacteria;Pseudomonadota;Gammaproteobacteria","SCSM4.1","SAMN13509270","PRJNA594253","GCA_009806735.1","Complete",5.20329,52.0246,"chromosome:NZ_CP047115.1/CP047115.1; plasmid plas4.1.1:NZ_CP047116.1/CP047116.1",,2,4863,"2019-12-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/806/735/GCF_009806735.1_ASM980673v1"
"Staphylococcus aureus","Bacteria;Terrabacteria group;Bacillota","FCFHV36","SAMN03444404","PRJNA279236","GCA_000969225.1","Complete",2.84981,32.9,"chromosome:NZ_CP011147.1/CP011147.1",,1,2696,"2015-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/225/GCA_000969225.1_ASM96922v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/225/GCF_000969225.1_ASM96922v1"
"Salmonella enterica subsp. enterica","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSA629","SAMN10291586","PRJNA498334","GCA_004124175.2","Complete",5.20994,51.821,"chromosome:NZ_CP033352.2/CP033352.2; plasmid pCFSA629:NZ_CP033351.2/CP033351.2",,2,4871,"2019-01-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/175/GCF_004124175.2_ASM412417v2"
"Staphylococcus aureus","Bacteria;Terrabacteria group;Bacillota","NT_8","SAMN20356339","PRJNA749172","GCA_022221525.1","Complete",2.84969,32.9,"chromosome:NZ_CP080222.1/CP080222.1",,1,2701,"2022-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/525/GCA_022221525.1_ASM2222152v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/525/GCF_022221525.1_ASM2222152v1"
"Helicobacter pylori v225d","Bacteria;Campylobacterota;Epsilonproteobacteria","v225d","SAMN00003101","PRJNA36609","GCA_000093185.1","Complete",1.5956,38.972,"chromosome:NC_017355.1/CP001582.1; plasmid pHPv225d:NC_017383.1/CP001583.1",,2,1417,"2010-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1"
"Escherichia coli","Bacteria;Pseudomonadota;Gammaproteobacteria","Ec55","SAMN15486685","PRJNA473419","GCA_019355495.1","Complete",5.3921,50.7491,"chromosome:NZ_CP059130.1/CP059130.1; plasmid pEc55_1:NZ_CP059131.1/CP059131.1; plasmid pEc55_2:NZ_CP059132.1/CP059132.1; plasmid pEc55_3:NZ_CP059133.1/CP059133.1; plasmid pEc55_4:NZ_CP059134.1/CP059134.1",,5,5003,"2021-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/355/495/GCA_019355495.1_ASM1935549v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/355/495/GCF_019355495.1_ASM1935549v1"
"Pseudomonas aeruginosa","Bacteria;Pseudomonadota;Gammaproteobacteria","F22031","SAMN02673269","PRJNA237986","GCA_000816985.1","Complete",6.6031,66.2,"chromosome:NZ_CP007399.1/CP007399.1",,1,5980,"2015-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/985/GCA_000816985.1_ASM81698v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/985/GCF_000816985.1_ASM81698v1"
"Acinetobacter baumannii","Bacteria;Pseudomonadota;Gammaproteobacteria","AB219-VUB","SAMN25131665","PRJNA798866","GCA_022468075.1","Complete",3.93792,39,"chromosome:NZ_CP091345.1/CP091345.1",,1,3583,"2022-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/468/075/GCA_022468075.1_ASM2246807v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/468/075/GCF_022468075.1_ASM2246807v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","C1398 mutant C1","SAMN20587887","PRJNA509089","GCA_021398445.1","Complete",5.44398,57.3,"chromosome:NZ_CP080584.1/CP080584.1",,1,5152,"2022-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/398/445/GCA_021398445.1_ASM2139844v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/398/445/GCF_021398445.1_ASM2139844v1"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","J091","SAMN03702686","PRJNA279196","GCA_001987935.1","Complete",4.10638,67.7,"chromosome:NZ_CP011764.1/CP011764.1",,1,3631,"2017-02-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/935/GCF_001987935.1_ASM198793v1"
"Citrobacter freundii complex sp. CFNIH4","Bacteria;Pseudomonadota;Gammaproteobacteria","CFNIH4","SAMN03455986","PRJNA430813","GCA_002934505.1","Complete",5.62949,51.7936,"chromosome:CP026231.1; plasmid pKPC-c9fd:CP026232.1; plasmid pCFR-0b27:CP026233.1; plasmid pCFR-4109:CP026234.1",,4,5432,"2018-02-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/505/GCF_002934505.1_ASM293450v1"
"Citrobacter sp. RHBSTW-00667","Bacteria;Pseudomonadota;Gammaproteobacteria","RHBSTW-00667","SAMN15148675","PRJNA605147","GCA_013746155.1","Complete",5.36056,51.8098,"chromosome:CP056361.1; plasmid pRHBSTW-00667_2:CP056362.1; plasmid pRHBSTW-00667_3:CP056363.1; plasmid pRHBSTW-00667_4:CP056364.1",,4,4902,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/746/155/GCA_013746155.1_ASM1374615v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/746/155/GCF_013746155.1_ASM1374615v1"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","J194","SAMN04221197","PRJNA279196","GCA_001988395.1","Complete",4.10638,67.7,"chromosome:NZ_CP013093.1/CP013093.1",,1,3647,"2017-02-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/395/GCF_001988395.1_ASM198839v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","KpBO_TO5","SAMN24648678","PRJNA794363","GCA_021484985.1","Complete",5.58229,57.2389,"chromosome:NZ_CP090623.1/CP090623.1; plasmid unnamed1:NZ_CP090624.1/CP090624.1; plasmid unnamed2:NZ_CP090625.1/CP090625.1",,3,5326,"2022-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/484/985/GCA_021484985.1_ASM2148498v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/484/985/GCF_021484985.1_ASM2148498v1"
"Acinetobacter baumannii","Bacteria;Pseudomonadota;Gammaproteobacteria","11A1314CRGN088","SAMN07258672","PRJNA390934","GCA_004101685.1","Complete",3.93751,39,"chromosome:NZ_CP035184.1/CP035184.1",,1,3590,"2019-01-22T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/101/685/GCF_004101685.1_ASM410168v1"
"Pseudomonas aeruginosa","Bacteria;Pseudomonadota;Gammaproteobacteria","LICME WGH-6","SAMN18536858","PRJNA718464","GCA_017900915.1","Complete",6.60299,66.1,"chromosome:NZ_CP072783.1/CP072783.1",,1,5956,"2021-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/900/915/GCA_017900915.1_ASM1790091v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/900/915/GCF_017900915.1_ASM1790091v1"
"Escherichia coli","Bacteria;Pseudomonadota;Gammaproteobacteria","RIVM_C018567","SAMN17373181","PRJNA691727","GCA_016775845.1","Complete",5.21567,50.7,"chromosome:NZ_CP068805.1/CP068805.1",,1,4806,"2021-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/775/845/GCA_016775845.1_ASM1677584v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/775/845/GCF_016775845.1_ASM1677584v1"
"Helicobacter pylori F32","Bacteria;Campylobacterota;Epsilonproteobacteria","F32","SAMD00060973","PRJDA50593","GCA_000270045.1","Complete",1.58146,38.8963,"chromosome:NC_017366.1/AP011943.1; plasmid pHPF32:NC_017370.1/AP011944.1",,2,1422,"2011-01-07T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/045/GCA_000270045.1_ASM27004v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/045/GCF_000270045.1_ASM27004v1"
"Staphylococcus aureus","Bacteria;Terrabacteria group;Bacillota","N1195","SAMD00269943","PRJDB11000","GCA_019669245.1","Complete",2.85344,32.9952,"chromosome:NZ_AP024313.1/AP024313.1; plasmid pN1195:NZ_AP024314.1/AP024314.1",,2,2677,"2021-01-14T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/669/245/GCA_019669245.1_ASM1966924v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/669/245/GCF_019669245.1_ASM1966924v1"
"Salmonella enterica subsp. enterica","Bacteria;Pseudomonadota;Gammaproteobacteria","CFSA12","SAMN10290244","PRJNA498334","GCA_004124055.2","Complete",5.13908,51.8956,"chromosome:NZ_CP033257.2/CP033257.2; plasmid pCFSA12:NZ_CP033256.1/CP033256.1",,2,4795,"2019-01-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/055/GCF_004124055.2_ASM412405v2"
"Salmonella enterica subsp. enterica","Bacteria;Pseudomonadota;Gammaproteobacteria","RM11065","SAMN07334225","PRJNA393473","GCA_002504105.1","Complete",5.26752,52.0022,"chromosome:NZ_CP022663.1/CP022663.1; plasmid pRM11065-1:NZ_CP022661.1/CP022661.1; plasmid pRM11065-2:NZ_CP022662.1/CP022662.1",,3,4891,"2017-10-10T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/105/GCF_002504105.1_ASM250410v1"
"Staphylococcus aureus","Bacteria;Terrabacteria group;Bacillota","59458","SAMD00291279","PRJDB11424","GCA_024363305.1","Complete",2.89894,32.8202,"chromosome:NZ_AP024723.1/AP024723.1; plasmid p59458-1:NZ_AP024724.1/AP024724.1; plasmid p59458-2:NZ_AP024725.1/AP024725.1",,3,2687,"2022-06-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/363/305/GCF_024363305.1_ASM2436330v1"
"Escherichia coli","Bacteria;Pseudomonadota;Gammaproteobacteria","PF9285","SAMN11333172","PRJNA530748","GCA_004771235.1","Complete",5.44189,50.6745,"chromosome:NZ_CP038791.1/CP038791.1; plasmid pDW54_1:NZ_CP038792.1/CP038792.1; plasmid pDW54_2:NZ_CP038793.1/CP038793.1; plasmid pDW54_3:NZ_CP038794.1/CP038794.1; plasmid pDW54_4:NZ_CP038795.1/CP038795.1",,5,4996,"2019-04-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/771/235/GCF_004771235.1_ASM477123v1"
"Helicobacter pylori B38","Bacteria;Campylobacterota;Epsilonproteobacteria","B38","SAMEA3138296","PRJNA39685","GCA_000091345.1","Complete",1.57676,39.2,"chromosome:NC_012973.1/FM991728.1",,1,1406,"2009-07-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/345/GCA_000091345.1_ASM9134v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/345/GCF_000091345.1_ASM9134v1"
"Pseudomonas aeruginosa","Bacteria;Pseudomonadota;Gammaproteobacteria","ZPPH29","SAMN19950574","PRJNA672835","GCA_019857425.1","Complete",7.05002,65.7051,"chromosome:NZ_CP077977.1/CP077977.1; plasmid p2:NZ_CP077979.1/CP077979.1; plasmid p3:NZ_CP077980.1/CP077980.1; plasmid pZPPH29-KPC:NZ_CP077978.1/CP077978.1",,4,6581,"2021-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/857/425/GCA_019857425.1_ASM1985742v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/857/425/GCF_019857425.1_ASM1985742v1"
"Klebsiella pneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","S37_CRE38","SAMN16387655","PRJNA667445","GCA_027595745.1","Complete",5.64036,57.1728,"chromosome:CP074553.1; plasmid pCRE38_1:CP074554.1; plasmid pCRE38_2:CP074555.1; plasmid pCRE38_3:CP074556.1; plasmid pCRE38_4:CP074557.1",,5,5378,"2023-01-09T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/595/745/GCF_027595745.1_ASM2759574v1"
"Bordetella pertussis","Bacteria;Pseudomonadota;Betaproteobacteria","J390","SAMN08471227","PRJNA279196","GCA_004636325.1","Complete",4.10638,67.7,"chromosome:NZ_CP026664.1/CP026664.1",,1,3651,"2019-04-05T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/636/325/GCF_004636325.1_ASM463632v1"
"Citrobacter sp. RHBSTW-00628","Bacteria;Pseudomonadota;Gammaproteobacteria","RHBSTW-00628","SAMN15148667","PRJNA605147","GCA_013746415.1","Complete",5.35146,51.9134,"chromosome:CP056381.1; plasmid pRHBSTW-00628_2:CP056382.1; plasmid pRHBSTW-00628_3:CP056383.1; plasmid pRHBSTW-00628_4:CP056384.1",,4,4909,"2020-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/746/415/GCA_013746415.1_ASM1374641v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/746/415/GCF_013746415.1_ASM1374641v1"
